mission,k2
ra,08:41:19.97
dec,20:10:49.3
GalLong,205.43605
GalLat,32.866821
Aliases,"2MASS J08411997+2010494,2MASS J08411997+2010494, WISE J084120.03+201049.2"
campaign,"5,18"
Proposals,"GO5007_LC, GO5029_LC, GO5033_LC, GO5060_LC, GO18047_LC, GO18049_LC, GO18065_LC, GO18901_LC"
objtype,STAR
bmag,13.806
bmag_err,0.02
g,13.408
g_err,0.02
vmag,13.149
vmag_err,0.03
r,12.935
r_err,0.04
kepmag,12.962
kepmag_err,
i,12.771
i_err,0.05
jmag,12.177
jmag_err,0.034
hmag,11.812
hmag_err,0.038
kmag,11.74
kmag_err,0.032
w1mag,11.503
w1mag_err,0.022
w2mag,11.579
w2mag_err,0.022
w3mag,11.048
w3mag_err,0.241
w4mag,8.421
w4mag_err,
Teff,5771.0
Teff_err,133.0
logg,4.422
logg_err,0.085
Radius,0.979
Radius_err,0.598
FeH,-0.326
FeH_err,0.25
Distance,496.9
Distance_err,306.8
Mass,0.917
Mass_err,0.095
Density,0.9515
Density_err,0.4238
spec,
bmagem,0.02
bmagep,0.02
gem,0.02
gep,0.02
vmagem,0.03
vmagep,0.03
rem,0.04
rep,0.04
kepmagem,
kepmagep,
iem,0.05
iep,0.05
jmagem,0.034
jmagep,0.034
hmagem,0.038
hmagep,0.038
kmagem,0.032
kmagep,0.032
w1magem,0.022
w1magep,0.022
w2magem,0.022
w2magep,0.022
w3magem,0.241
w3magep,0.241
w4magem,
w4magep,
Teffem,133.0
Teffep,133.0
loggem,0.085
loggep,0.085
Radiusem,0.598
Radiusep,0.598
FeHem,0.25
FeHep,0.25
Distanceem,306.8
Distanceep,306.8
Massem,0.095
Massep,0.095
Densityem,0.4238
Densityep,0.4238
bmage,0.02
ge,0.02
vmage,0.03
re,0.04
ie,0.05
jmage,0.034
hmage,0.038
kmage,0.032
w1mage,0.022
w2mage,0.022
w3mage,0.241
Teffe,133.0
logge,0.085
Radiuse,0.598
FeHe,0.25
Distancee,306.8
Masse,0.095
Densitye,0.4238
rho_gcm3e,100
rho_gcm3,1
